No.,Port/L2 Forwarder VLAN,Port VLAN,Count
260,"C992 ( 4G_RAN_UPLINK, Residential Bridge )",C992,32
261,"C992 ( 992, Residential Bridge )",C992,7
262,"C992 ( Additional_subnet_992, Residential Bridge )",C992,6
263,"C992 ( LTE_OAM_2nd, Residential Bridge )",C992,15
264,"C992 ( LTE_RAN, Residential Bridge )",C992,129
265,"C992 ( LTE_RAN_2nd, Residential Bridge )",C992,69
266,"C992 ( LTE_RAN_2nd, Residential Bridge )",C992,1
267,"C992 ( LTE_RAN_2nd_Subnet, Residential Bridge )",C992,20
268,"C992 ( LTE_RAN_SecondSubnet, Residential Bridge )",C992,24
269,"C992 ( LTE_RAN_Second_Subnet, Residential Bridge )",C992,100
270,"C992 ( LTE_SRAN, Residential Bridge )",C992,4
271,"C992 ( LTE_SRAN_2, Residential Bridge )",C992,257
272,"C992 ( LTW_RAN_2nd_Subnet, Residential Bridge )",C992,15
273,"C992 ( Second_Subnet_LTE_RAN, Residential Bridge )",C992,61
274,"C993 ( 2G_3G_Additional_subnet_993_UPLINK, Residential Bridge )",C993,3
275,"C993 ( 2nd_LTE_OAM, Residential Bridge )",C993,1
276,"C993 ( 4G_OAM_2nd_subnet, Residential Bridge )",C993,23
277,"C993 ( 4G_OAM_UPLINK , Residential Bridge )",C993,8
278,"C993 ( 4G_OAM_UPLINK, Residential Bridge )",C993,6
279,"C993 ( 993, Residential Bridge )",C993,13
280,"C993 ( LTE-OAM_2nd_Subnet, Residential Bridge )",C993,3
281,"C993 ( LTE_OAM, Residential Bridge )",C993,56
282,"C993 ( LTE_OAM_2, Residential Bridge )",C993,118
283,"C993 ( LTE_OAM_2nd, Residential Bridge )",C993,29
284,"C993 ( LTE_OAM_2nd, Residential Bridge )",C993,1
285,"C993 ( LTE_OAM_SecondSubnet, Residential Bridge )",C993,8
286,"C993 ( LTE_OAM_Second_Subnet, Residential Bridge )",C993,45
287,"C993 ( LTE_RAN_2nd, Residential Bridge )",C993,14
288,"C993 ( Second_Subnet_LTE_OAM, Residential Bridge )",C993,11
289,"C995 ( FIXED-LTE, Residential Bridge )",C995,1
290,"C995 ( FixedLTE, Residential Bridge )",C995,174
291,"C995 ( FixedLTE, Residential Bridge )",C995,6
292,"C995 ( Fixed_LTE, Residential Bridge )",C995,3
293,"C996 ( 5G_RAN, Residential Bridge )",C996,14
294,"C997 ( 5G_OAM, Residential Bridge )",C997,14
295,"C1025 ( HSI_INTERNET, Residential Bridge )",C1025,10
296,"C1025 ( INTERNET, Residential Bridge )",C1025,5
297,"C1027 ( HSI, Residential Bridge )",C1027,16
